county,median_home_price_q2_2021
Alameda,854696
Alpine,419080
Amador,359884
Butte,377765
Calaveras,366538
Colusa,304243
Contra Costa,666238
Del Norte,251012
El Dorado,590992
Fresno,334478
Glenn,267532
Humboldt,399233
Imperial,266296
Inyo,308718
Kern,276066
Kings,287041
Lake,292771
Lassen,232886
Los Angeles,729120
Madera,344159
Marin,1045285
Mariposa,316289
Mendocino,494453
Merced,329284
Modoc,161299
Mono,358507
Monterey,690053
Napa,744892
Nevada,556403
Orange,820812
Placer,629489
Plumas,277972
Riverside,454385
Sacramento,459373
San Benito,576719
San Bernardino,437245
San Diego,717818
San Francisco,1179676
San Joaquin,461150
San Luis Obispo,712200
San Mateo,1195275
Santa Barbara,670504
Santa Clara,1187214
Santa Cruz,925173
Shasta,327189
Sierra,265467
Siskiyou,228183
Solano,529515
Sonoma,719823
Stanislaus,399195
Sutter,366610
Tehama,279349
Trinity,330056
Tulare,284046
Tuolumne,331777
Ventura,708536
Yolo,552495
,